TIMESTAMP,EST_ACT_Diff,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,USER_VENUE_DIST,DayOfWeek,user_coordinates,venue_coordinates,venue_postal_code,user_postal_code,source_of_order_pcode
2020-08-01 10:25:00,13,4,60.187,24.915,60.192,24.952,40,53,0.0,17.8,3.15193,0.0,2.1270275662633793,Saturday,"(60.187, 24.915)","(60.192, 24.952)",00510,00250,OUT
2020-08-01 10:28:00,-7,5,60.181,24.917,60.167,24.932,55,48,0.0,17.8,3.15193,0.0,1.7681181799946513,Saturday,"(60.181, 24.917)","(60.167, 24.932)",00100,00250,OUT
2020-08-01 10:28:00,14,1,60.188,24.921,60.169,24.933,30,44,0.0,17.8,3.15193,0.0,2.219182196154678,Saturday,"(60.188, 24.921)","(60.169, 24.933)",00100,00250,OUT
2020-08-01 10:31:00,-8,1,60.173,24.924,60.169,24.929,25,17,0.0,17.8,3.15193,0.0,0.5250261611120957,Saturday,"(60.173, 24.924)","(60.169, 24.929)",00100,00100,IN
2020-08-01 10:33:00,16,1,60.16,24.945,60.169,24.945,28,44,0.0,17.8,3.15193,0.0,1.0027357073208587,Saturday,"(60.16, 24.945)","(60.169, 24.945)",00100,00150,OUT
2020-08-01 10:36:00,-2,6,60.198,24.951,60.187,24.962,32,30,0.0,17.8,3.15193,0.0,1.369089444999766,Saturday,"(60.198, 24.951)","(60.187, 24.962)",00500,00550,OUT
2020-08-01 10:38:00,-1,5,60.194,24.943,60.178,24.949,28,27,0.0,17.8,3.15193,0.0,1.8134678382444902,Saturday,"(60.194, 24.943)","(60.178, 24.949)",00530,00510,OUT
2020-08-01 10:39:00,11,1,60.188,24.945,60.198,24.93,34,45,0.0,17.8,3.15193,0.0,1.390599326835369,Saturday,"(60.188, 24.945)","(60.198, 24.93)",00520,00510,OUT
2020-08-01 10:40:00,-10,1,60.161,24.938,60.168,24.93,25,15,0.0,17.8,3.15193,0.0,0.8975245536129206,Saturday,"(60.161, 24.938)","(60.168, 24.93)",00100,00150,OUT
2020-08-01 10:42:00,18,6,60.162,24.944,60.169,24.927,28,46,0.0,17.8,3.15193,0.0,1.224385947453057,Saturday,"(60.162, 24.944)","(60.169, 24.927)",00100,00120,OUT
2020-08-01 10:47:00,-19,1,60.157,24.93,60.169,24.929,35,16,0.0,17.8,3.15193,0.0,1.3381331337514382,Saturday,"(60.157, 24.93)","(60.169, 24.929)",00100,00150,OUT
2020-08-01 10:48:00,-11,2,60.195,24.976,60.185,24.979,31,20,0.0,17.8,3.15193,0.0,1.1265183539290697,Saturday,"(60.195, 24.976)","(60.185, 24.979)",00540,00580,OUT
